"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"71",21,20.673957824707,"Silver_Shade",13475,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"72",22,20.673957824707,"Silver_Shade",13475,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"73",23,20.6190204620361,"Silver_Shade",13467,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"74",24,20.6670913696289,"Silver_Shade",13474,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"75",25,20.6533584594727,"Silver_Shade",13472,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"76",1,20.1301212310791,"Tree_Shade",13396,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"77",2,20.0403423309326,"Tree_Shade",13383,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"78",3,20.2060241699219,"Tree_Shade",13407,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"79",4,20.0610675811768,"Tree_Shade",13386,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"80",5,20.3438816070557,"Tree_Shade",13427,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"81",6,22.7865314483643,"Black_Shade",13786,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"82",7,23.1086730957031,"Black_Shade",13834,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"83",8,22.6318073272705,"Black_Shade",13763,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"84",9,22.6587333679199,"Black_Shade",13767,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"85",10,22.254093170166,"Black_Shade",13707,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"86",11,20.7494449615479,"Silver_Shade",13486,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"87",12,20.7220020294189,"Silver_Shade",13482,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"88",13,20.7357234954834,"Silver_Shade",13484,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"89",14,20.6464920043945,"Silver_Shade",13471,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"90",15,20.5709266662598,"Silver_Shade",13460,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"91",16,21.7324123382568,"Green_Dry_Shade",13630,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"92",17,21.6916484832764,"Green_Dry_Shade",13624,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"93",18,21.8206787109375,"Green_Dry_Shade",13643,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"94",19,21.9631004333496,"Green_Dry_Shade",13664,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"95",20,22.0985507965088,"Green_Dry_Shade",13684,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"96",21,20.1715297698975,"Green_Wet_Shade",13402,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"97",22,20.2336101531982,"Green_Wet_Shade",13411,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"98",23,20.0127010345459,"Green_Wet_Shade",13379,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"99",24,20.0265235900879,"Green_Wet_Shade",13381,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"100",25,19.7566566467285,"Green_Wet_Shade",13342,"ThermalCamera2023-07-25_11-32-33+0200_T3_W_temperature","2023-07-25","T3",1,"R1",6,"W","Abies Alba"
"101",1,20.5365581512451,"Tree_Shade",13455,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"102",2,20.8043098449707,"Tree_Shade",13494,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"103",3,20.8180198669434,"Tree_Shade",13496,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"104",4,20.6396255493164,"Tree_Shade",13470,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"105",5,20.6396255493164,"Tree_Shade",13470,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"106",6,22.7529144287109,"Black_Shade",13781,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"107",7,22.9946975708008,"Black_Shade",13817,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"108",8,22.4835891723633,"Black_Shade",13741,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
